city,timestamp,aqi,co,no2,o3,so2,pm2_5,pm10,temperature,humidity,collection_status
Delhi,2025-01-13 02:36:26,5,2563.48,27.42,0.12,18.6,242.59,290.68,11.06,93,success
Mumbai,2025-01-13 02:36:28,5,1348.5,37.01,48.64,41.01,154.57,183.22,24.03,53,success
Chennai,2025-01-13 02:36:31,2,560.76,15.77,50.07,7.33,19.76,27.78,24.46,95,success
Kolkata,2025-01-13 02:36:33,5,4753.11,108.3,12.52,143.05,649.55,828.23,17.96,77,success
Bengaluru,2025-01-13 02:36:36,2,674.25,27.76,39.7,11.09,10.05,12.59,20.02,88,success
Ahmedabad,2025-01-13 02:36:38,3,614.17,11.82,83.69,7.87,49.63,61.33,13.04,76,success
Lucknow,2025-01-13 02:36:41,5,894.55,12.85,35.41,3.87,82.72,90.78,14.57,60,success
Hyderabad,2025-01-13 02:36:43,5,1068.12,39.41,48.64,32.42,79.4,100.5,20.19,88,success
Jaipur,2025-01-13 02:36:45,5,947.95,14.57,36.84,6.44,85.41,96.2,7.6,100,success
Patna,2025-01-13 02:36:48,5,1388.55,21.08,19.49,8.35,138.85,159.75,15.97,88,success
